State,Congressional District,Age: 35 -- 64,Farms by Size: 1 to 9 acres (Number),Farms by Size: 1 to 9 acres (Percent of Total),Land in Farms by Use (%): Cropland,Market Value of Agricultural Products Sold: Crops,Market Value of Agricultural Products Sold: Total,Other characteristics: New and beginning farmers,Per farm average ($): Market value of products sold,Per farm average ($): Net cash farm income,Per farm average ($): Percent of state agriculture sales,Per farm average ($): Total farm production expenses,Percent of farms that: Are family farms,Percent of farms that: Have internet access,Percent of farms that: Hire farm labor,Race: White,Sex: Female,Sex: Male,Share of Sales by Type (%): Crops,Total ($): Market value of products sold,Total ($): Net cash farm income,Total ($): Total farm production expenses,Total Producers,"Total and Per Farm Overview, 2022: Average size of farm (acres)","Total and Per Farm Overview, 2022: Land in farms (acres)","Total and Per Farm Overview, 2022: Number of farms",District_ID
04,09,1018,376,36,47.0,1095488.0,1749456.0,632,1687035.0,423532.0,34.0,1293477.0,87,88,35,1752,726,1181,63.0,1749456000.0,439203000.0,1341335000.0,1907,800.0,829668.0,1037,0409
05,01,12140,444,3,74.0,4585890.0,6281143.0,7047,493606.0,160184.0,45.0,353964.0,92,82,31,21672,8142,14370,73.0,6281143000.0,2038340000.0,4504191000.0,22512,625.0,7957524.0,12725,0501
05,02,5239,372,7,37.0,118591.0,654078.0,3439,119926.0,37494.0,5.0,87954.0,96,81,18,9473,4028,5782,18.0,654078000.0,204495000.0,479702000.0,9810,207.0,1127963.0,5454,0502
05,03,7043,582,8,28.0,54988.0,2587254.0,4072,376164.0,144371.0,19.0,236874.0,97,84,20,11698,5211,7321,2.0,2587254000.0,992987000.0,1629216000.0,12532,173.0,1188491.0,6878,0503
05,04,12248,507,4,38.0,579085.0,4376674.0,7267,344647.0,131600.0,31.0,220340.0,96,81,22,21013,8899,13672,13.0,4376674000.0,1671189000.0,2798096000.0,22571,272.0,3448547.0,12699,0504
06,01,8209,1763,21,35.0,2664973.0,3083511.0,4554,364611.0,48075.0,5.0,364110.0,91,86,33,14719,6323,9651,86.0,3083511000.0,406573000.0,3079276000.0,15974,520.0,4398829.0,8457,0601
06,02,4236,1394,32,10.0,678589.0,1073947.0,2788,244468.0,16384.0,2.0,249087.0,93,87,39,8064,3503,5022,63.0,1073947000.0,71975000.0,1094237000.0,8525,400.0,1758717.0,4393,0602
06,03,3002,1218,40,17.0,199948.0,284552.0,2124,93510.0,8415.0,,100265.0,94,88,24,5347,2568,3131,70.0,284552000.0,25608000.0,305106000.0,5699,242.0,736753.0,3043,0603
06,04,4590,1546,34,44.0,1962943.0,2173859.0,2999,484371.0,52378.0,4.0,472201.0,89,88,45,8570,3530,5561,90.0,2173859000.0,235075000.0,2119239000.0,9091,279.0,1251025.0,4488,0604
06,05,5417,1384,26,30.0,2065092.0,3057748.0,3243,567932.0,108828.0,5.0,484520.0,93,84,31,9558,4053,6214,68.0,3057748000.0,585931000.0,2608653000.0,10267,318.0,1711130.0,5384,0605
06,06,139,80,48,60.0,,93445.0,107,559551.0,61940.0,,522931.0,92,92,40,273,100,194,,93445000.0,10344000.0,87329000.0,294,240.0,40061.0,167,0606
06,07,972,306,33,55.0,357599.0,456246.0,703,486403.0,99900.0,1.0,417772.0,93,86,39,1472,692,1024,78.0,456246000.0,93706000.0,391870000.0,1716,254.0,238501.0,938,0607
06,08,186,63,31,14.0,40172.0,46117.0,142,229437.0,54634.0,,187192.0,94,82,47,325,186,214,87.0,46117000.0,10981000.0,37626000.0,400,606.0,121810.0,201,0608
06,09,3322,796,23,65.0,1881175.0,2695627.0,1693,783840.0,142945.0,5.0,675553.0,89,86,44,6079,2273,4259,70.0,2695627000.0,491588000.0,2323225000.0,6532,239.0,822131.0,3439,0609
06,10,270,133,40,11.0,40370.0,51072.0,209,152000.0,6404.0,,172794.0,93,78,29,539,262,354,79.0,51072000.0,2152000.0,58059000.0,616,419.0,140788.0,336,0610
06,12,44,19,59,67.0,91433.0,91456.0,42,2858015.0,1630448.0,,1229715.0,66,88,59,62,35,31,100.0,91456000.0,52174000.0,39351000.0,66,83.0,2667.0,32,0612
06,13,5823,754,13,74.0,5849867.0,11272283.0,2587,1958354.0,350842.0,19.0,1662100.0,88,83,54,9790,3407,7489,52.0,11272283000.0,2019445000.0,9567047000.0,10896,422.0,2428412.0,5756,0613
06,14,365,123,37,9.0,26157.0,41056.0,238,122922.0,19898.0,,166392.0,87,87,27,611,279,375,64.0,41056000.0,6646000.0,55575000.0,654,414.0,138359.0,334,0614
06,15,7,9,64,,821.0,830.0,9,59307.0,71235.0,,130586.0,71,57,36,12,6,15,99.0,830000.0,997000.0,1828000.0,21,,,14,0615
06,16,322,196,51,14.0,90249.0,93278.0,225,241652.0,37762.0,,258299.0,89,84,42,648,305,412,97.0,93278000.0,14576000.0,99704000.0,717,147.0,56554.0,386,0616
06,17,44,19,37,69.0,37539.0,37637.0,14,723784.0,399548.0,,1163991.0,85,63,42,73,32,64,100.0,37637000.0,20776000.0,60528000.0,96,121.0,6290.0,52,0617
06,18,1799,557,31,22.0,5272987.0,5363016.0,960,2979453.0,881121.0,9.0,2132580.0,88,87,46,3076,1183,2240,98.0,5363016000.0,1586017000.0,3838644000.0,3423,897.0,1615431.0,1800,0618
06,19,2163,603,27,18.0,1844876.0,1893096.0,1339,856217.0,195841.0,3.0,695067.0,89,87,38,4016,1743,2536,97.0,1893096000.0,433004000.0,1536794000.0,4279,465.0,1027852.0,2211,0619
06,20,3502,774,21,38.0,3536798.0,5145233.0,1951,1364060.0,323956.0,9.0,1088694.0,86,86,42,6487,2427,4633,69.0,5145233000.0,1221963000.0,4106552000.0,7060,614.0,2317639.0,3772,0620
06,21,2631,562,20,77.0,2219201.0,2888651.0,1145,1018206.0,240816.0,5.0,812191.0,91,82,49,4248,1610,3396,77.0,2888651000.0,683195000.0,2304185000.0,5006,214.0,606079.0,2837,0621
06,22,2383,360,16,61.0,3887161.0,7519848.0,1027,3408816.0,812669.0,13.0,2667899.0,86,84,57,3947,1193,3121,52.0,7519848000.0,1792748000.0,5885384000.0,4314,894.0,1971905.0,2206,0622
06,23,515,388,61,38.0,72777.0,169191.0,376,265189.0,44329.0,,232393.0,93,82,32,969,505,593,43.0,169191000.0,28282000.0,148267000.0,1098,71.0,45478.0,638,0623
06,24,2664,815,31,28.0,3422907.0,3487416.0,1647,1318494.0,260563.0,6.0,1103917.0,87,88,50,5076,2040,3365,98.0,3487416000.0,689190000.0,2919861000.0,5405,417.0,1103491.0,2645,0624
06,25,1217,319,27,89.0,3009742.0,3869398.0,693,3227188.0,718700.0,7.0,2616641.0,87,79,60,1981,669,1535,78.0,3869398000.0,861722000.0,3137352000.0,2204,830.0,994838.0,1199,0625
06,26,1343,640,42,51.0,1973859.0,1981790.0,922,1295287.0,295178.0,3.0,1049937.0,90,84,52,2610,1084,1833,100.0,1981790000.0,451622000.0,1606404000.0,2917,162.0,248031.0,1530,0626
06,27,291,169,63,50.0,,93220.0,168,345260.0,107831.0,,249510.0,97,83,26,474,247,277,,93220000.0,29114000.0,67368000.0,524,195.0,52679.0,270,0627
06,28,71,53,62,16.0,12802.0,34702.0,66,408255.0,76122.0,,339082.0,85,85,33,133,61,101,37.0,34702000.0,6470000.0,28822000.0,162,108.0,9146.0,85,0628
06,29,32,20,74,25.0,780.0,881.0,26,32634.0,92636.0,,148381.0,89,100,59,44,21,31,88.0,881000.0,2501000.0,4006000.0,52,5.0,142.0,27,0629
06,30,65,65,84,26.0,5073.0,5540.0,18,71951.0,26641.0,,96296.0,91,87,32,131,74,66,92.0,5540000.0,2051000.0,7415000.0,140,8.0,593.0,77,0630
06,31,58,37,80,81.0,23934.0,24044.0,33,522694.0,79129.0,,458821.0,70,87,54,87,31,67,100.0,24044000.0,3640000.0,21106000.0,98,9.0,433.0,46,0631
06,32,108,42,46,18.0,7364.0,7873.0,57,85578.0,28031.0,,120978.0,86,93,59,185,73,131,94.0,7873000.0,2579000.0,11130000.0,204,102.0,9389.0,92,0632
06,33,37,55,80,83.0,6015.0,6226.0,18,90236.0,10748.0,,106903.0,93,68,41,96,53,53,97.0,6226000.0,742000.0,7376000.0,106,23.0,1617.0,69,0633
06,34,10,16,100,,,,14,,,,35002.0,100,88,31,19,12,9,,,,560000.0,21,,,16,0634
06,35,99,37,42,49.0,37260.0,265322.0,49,2981151.0,314646.0,,2687600.0,85,75,66,132,47,114,14.0,265322000.0,28003000.0,239196000.0,161,55.0,4883.0,89,0635
06,36,46,13,42,50.0,,3468.0,35,111858.0,,,209357.0,94,74,55,72,32,55,,3468000.0,,6490000.0,87,33.0,1011.0,31,0636
06,38,47,47,94,80.0,,7636.0,43,152721.0,31577.0,,127538.0,92,82,70,60,27,71,,7636000.0,1579000.0,6377000.0,98,4.0,216.0,50,0638
06,39,195,190,77,27.0,67005.0,67485.0,119,273217.0,746.0,,284408.0,94,80,32,389,191,244,99.0,67485000.0,184000.0,70249000.0,435,65.0,16122.0,247,0639
06,40,101,71,58,31.0,,44595.0,57,365529.0,31253.0,,402197.0,80,81,57,168,83,131,,44595000.0,3813000.0,49068000.0,214,59.0,7184.0,122,0640
06,41,630,406,59,60.0,229661.0,344195.0,357,503209.0,162237.0,1.0,356816.0,94,78,28,1154,556,707,67.0,344195000.0,110970000.0,244062000.0,1263,111.0,75760.0,684,0641
06,42,53,30,79,19.0,4909.0,4909.0,39,129191.0,12607.0,,129218.0,58,74,74,73,28,66,100.0,4909000.0,479000.0,4910000.0,94,23.0,863.0,38,0642
06,43,42,25,76,90.0,19713.0,22415.0,18,679256.0,122838.0,,573448.0,73,85,67,48,25,48,88.0,22415000.0,4054000.0,18924000.0,73,6.0,192.0,33,0643
06,44,15,10,63,85.0,,23845.0,2,1490319.0,646924.0,,847770.0,81,69,94,20,3,25,,23845000.0,10351000.0,13564000.0,28,13.0,200.0,16,0644
06,45,16,13,48,60.0,,3070.0,2,113712.0,,,159254.0,70,85,74,28,9,32,,3070000.0,,4300000.0,41,17.0,455.0,27,0645
06,46,14,12,63,99.0,9478.0,9478.0,5,498818.0,,,681441.0,58,95,84,21,15,24,100.0,9478000.0,,12947000.0,39,112.0,2136.0,19,0646
06,47,29,7,24,83.0,18244.0,18254.0,16,629435.0,204266.0,,660216.0,72,90,62,41,12,37,100.0,18254000.0,5924000.0,19146000.0,49,77.0,2225.0,29,0647
06,48,2884,2333,69,27.0,337598.0,389688.0,2463,114817.0,10832.0,1.0,115357.0,96,87,33,5632,2624,3538,87.0,389688000.0,36764000.0,391522000.0,6162,42.0,143119.0,3394,0648
06,49,607,435,69,21.0,284456.0,289161.0,450,460448.0,19090.0,,451668.0,89,85,46,1124,475,748,98.0,289161000.0,11988000.0,283648000.0,1223,71.0,44513.0,628,0649
06,50,610,468,74,41.0,405335.0,412392.0,410,653553.0,157131.0,1.0,502626.0,94,86,44,1052,471,670,98.0,412392000.0,99149000.0,317157000.0,1141,41.0,25918.0,631,0650
06,51,70,35,45,46.0,10832.0,40749.0,49,522417.0,137327.0,,386442.0,78,82,59,96,29,92,27.0,40749000.0,10711000.0,30142000.0,121,24.0,1887.0,78,0651
06,52,46,35,52,46.0,15445.0,15747.0,43,235028.0,76551.0,,159687.0,90,72,39,86,34,67,98.0,15747000.0,5129000.0,10699000.0,101,86.0,5765.0,67,0652
08,01,37,22,58,73.0,,,37,,3047.0,,33580.0,55,79,45,67,33,40,,,116000.0,1276000.0,73,23.0,870.0,38,0801
08,02,3982,725,18,23.0,129801.0,462752.0,2669,116299.0,21238.0,5.0,109281.0,93,88,20,7365,3166,4318,28.0,462752000.0,84506000.0,434829000.0,7484,489.0,1945094.0,3979,0802
08,03,13012,2364,18,15.0,714757.0,1197967.0,8811,89394.0,22652.0,13.0,79582.0,94,82,19,24784,10413,15060,60.0,1197967000.0,303558000.0,1066472000.0,25473,711.0,9528673.0,13401,0803
08,04,13551,798,6,47.0,1615821.0,5993026.0,8823,441605.0,83813.0,65.0,393767.0,92,82,21,24756,10206,15124,27.0,5993026000.0,1137431000.0,5343807000.0,25330,1264.0,17150959.0,13571,0804
08,05,688,127,19,6.0,,15667.0,579,23419.0,11413.0,,42236.0,94,86,14,1154,533,686,,15667000.0,7635000.0,28256000.0,1219,289.0,193239.0,669,0805
08,06,180,21,13,37.0,,,151,,18517.0,,95380.0,91,81,23,318,126,205,,,3018000.0,15547000.0,331,488.0,79593.0,163,0806
08,07,2046,603,28,9.0,,63724.0,1520,29191.0,3370.0,1.0,37644.0,94,84,16,4017,1751,2337,,63724000.0,7356000.0,82176000.0,4088,336.0,733201.0,2183,0807
08,08,2115,521,25,61.0,307739.0,1479254.0,1576,720884.0,156139.0,16.0,578840.0,93,84,18,3720,1518,2336,21.0,1479254000.0,320397000.0,1187780000.0,3854,284.0,582270.0,2052,0808
09,01,546,210,35,44.0,77991.0,81724.0,408,134415.0,24697.0,12.0,121583.0,93,84,27,1142,443,719,95.0,81724000.0,15016000.0,73922000.0,1162,57.0,34920.0,608,0901
09,02,2174,618,25,41.0,253453.0,393395.0,1392,159398.0,38437.0,56.0,138361.0,95,87,22,4410,1868,2618,64.0,393395000.0,94861000.0,341474000.0,4486,76.0,187253.0,2468,0902
09,03,448,208,43,42.0,32834.0,37738.0,277,78456.0,536.0,5.0,88826.0,91,84,33,917,346,594,87.0,37738000.0,258000.0,42725000.0,940,44.0,21058.0,481,0903
09,04,236,113,45,6.0,17126.0,30636.0,162,122543.0,12801.0,4.0,161801.0,92,87,47,495,221,274,56.0,30636000.0,3200000.0,40450000.0,495,155.0,38785.0,250,0904
09,05,1076,391,31,41.0,127878.0,160541.0,740,128330.0,24342.0,23.0,120229.0,94,84,26,2270,976,1315,80.0,160541000.0,30452000.0,150406000.0,2291,72.0,89998.0,1251,0905
10,01,1986,313,15,81.0,470700.0,2095755.0,950,971156.0,414476.0,100.0,580391.0,92,79,32,3654,1305,2507,22.0,2095755000.0,894439000.0,1252484000.0,3812,242.0,522834.0,2158,1000
12,01,1967,271,13,53.0,111267.0,142936.0,1476,66855.0,5326.0,1.0,68486.0,97,82,15,3542,1537,2246,78.0,142936000.0,11387000.0,146424000.0,3783,126.0,269950.0,2138,1201
12,02,4545,594,11,24.0,375250.0,590999.0,3101,110715.0,25146.0,6.0,98041.0,95,77,21,8476,3615,5588,63.0,590999000.0,134228000.0,523345000.0,9203,272.0,1450205.0,5338,1202
12,03,8044,1309,15,37.0,527164.0,1284659.0,4997,145028.0,33199.0,13.0,127317.0,96,82,22,14820,6901,8739,41.0,1284659000.0,294080000.0,1127776000.0,15640,143.0,1266867.0,8858,1203
12,04,885,268,29,6.0,8094.0,25845.0,545,27642.0,2890.0,,39131.0,97,77,14,1514,673,907,31.0,25845000.0,2703000.0,36587000.0,1580,109.0,101810.0,935,1204
12,05,209,68,39,36.0,26899.0,27536.0,170,159166.0,9563.0,,170779.0,88,90,36,362,198,172,98.0,27536000.0,1654000.0,29545000.0,370,74.0,12811.0,173,1205
12,06,3138,948,26,18.0,467327.0,531259.0,2176,147408.0,33478.0,5.0,126794.0,94,79,24,5955,2707,3584,88.0,531259000.0,120656000.0,456967000.0,6291,118.0,425983.0,3604,1206
12,07,947,416,43,15.0,43982.0,53690.0,643,55927.0,5654.0,1.0,60506.0,93,82,21,1571,755,944,82.0,53690000.0,5428000.0,58086000.0,1699,77.0,74318.0,960,1207
12,08,1203,507,44,19.0,228929.0,282721.0,872,245844.0,44163.0,3.0,211058.0,90,83,30,2006,830,1268,81.0,282721000.0,50788000.0,242716000.0,2098,282.0,324754.0,1150,1208
12,09,438,162,36,6.0,66005.0,137376.0,259,305280.0,9306.0,1.0,310767.0,91,75,30,797,337,524,48.0,137376000.0,4188000.0,139845000.0,861,1501.0,675333.0,450,1209
12,10,93,91,67,17.0,,,77,,6558.0,,53153.0,84,69,21,186,90,120,,,885000.0,7176000.0,210,61.0,8256.0,135,1210
12,11,2437,649,25,22.0,506507.0,570637.0,1471,217137.0,63172.0,6.0,162520.0,92,78,26,4427,1943,2763,89.0,570637000.0,166016000.0,427103000.0,4706,130.0,341857.0,2628,1211
12,12,2242,616,27,25.0,112152.0,193363.0,1454,84845.0,4850.0,2.0,83911.0,95,82,18,3913,1825,2280,58.0,193363000.0,11052000.0,191234000.0,4105,102.0,231996.0,2279,1212
12,13,107,73,72,36.0,6831.0,7075.0,97,70051.0,3090.0,,83475.0,94,89,48,209,104,106,97.0,7075000.0,312000.0,8431000.0,210,37.0,3728.0,101,1213
12,14,230,112,51,62.0,39605.0,40323.0,145,183285.0,66713.0,,128261.0,85,86,36,381,170,236,98.0,40323000.0,14677000.0,28217000.0,406,30.0,6623.0,220,1214
12,15,1536,554,34,30.0,468145.0,495458.0,963,306595.0,67165.0,5.0,246277.0,91,78,26,2688,1128,1707,94.0,495458000.0,108539000.0,397984000.0,2835,102.0,164994.0,1616,1215
12,16,1386,428,30,33.0,438381.0,508843.0,741,361908.0,79982.0,5.0,296361.0,90,81,30,2397,1064,1484,86.0,508843000.0,112455000.0,416683000.0,2548,214.0,301084.0,1406,1216
12,17,893,374,40,22.0,134315.0,153814.0,596,163459.0,22623.0,2.0,155847.0,87,78,27,1598,704,942,87.0,153814000.0,21288000.0,146652000.0,1646,222.0,209087.0,941,1217
12,18,5034,859,16,28.0,1625523.0,2142240.0,2516,400494.0,92238.0,21.0,327372.0,88,76,33,9197,3448,6141,76.0,2142240000.0,493380000.0,1751112000.0,9589,523.0,2795219.0,5349,1218
12,19,469,241,50,44.0,166342.0,180894.0,417,376863.0,69757.0,2.0,324319.0,92,81,36,806,312,540,92.0,180894000.0,33483000.0,155673000.0,852,168.0,80435.0,480,1219
12,20,599,297,55,83.0,696434.0,706219.0,344,1310240.0,494849.0,7.0,863594.0,85,90,48,906,445,596,99.0,706219000.0,266724000.0,465477000.0,1041,545.0,293741.0,539,1220
12,21,1531,659,46,28.0,315596.0,344803.0,1138,240953.0,45119.0,3.0,214961.0,86,83,31,2358,1001,1525,92.0,344803000.0,64566000.0,307609000.0,2526,268.0,383988.0,1431,1221
12,22,465,256,58,95.0,396113.0,421024.0,298,956873.0,328466.0,4.0,693842.0,80,88,56,760,317,497,94.0,421024000.0,144525000.0,305291000.0,814,308.0,135425.0,440,1222
12,23,133,106,81,51.0,21084.0,21323.0,126,162772.0,13715.0,,180018.0,76,83,38,208,96,142,99.0,21323000.0,1797000.0,23582000.0,238,19.0,2468.0,131,1223
12,24,30,13,52,27.0,,,30,,16284.0,,123174.0,92,88,44,23,8,29,,,407000.0,3079000.0,37,28.0,696.0,25,1224
12,25,552,397,84,56.0,,54130.0,378,114925.0,5546.0,1.0,125614.0,86,91,46,831,387,526,,54130000.0,2612000.0,59164000.0,913,6.0,2963.0,471,1225
12,26,261,146,51,28.0,159447.0,162684.0,138,564875.0,119013.0,2.0,484197.0,84,73,39,461,166,310,98.0,162684000.0,34276000.0,139449000.0,476,247.0,71045.0,288,1226
12,27,380,281,74,76.0,,158209.0,234,415246.0,117452.0,2.0,304856.0,90,77,32,623,273,397,,158209000.0,44749000.0,116150000.0,670,15.0,5764.0,381,1227
12,28,2353,1608,72,71.0,953782.0,977532.0,1432,437179.0,97227.0,10.0,349391.0,91,79,35,3531,1438,2468,98.0,977532000.0,217399000.0,781239000.0,3906,27.0,60000.0,2236,1228
13,01,2508,367,15,40.0,242832.0,513171.0,1730,203801.0,73647.0,4.0,146619.0,96,78,25,4253,1521,2878,47.0,513171000.0,185442000.0,369188000.0,4399,218.0,550103.0,2518,1301
13,02,4549,255,5,54.0,1518217.0,2570111.0,2936,484652.0,155503.0,19.0,360548.0,92,76,33,8163,3044,6112,59.0,2570111000.0,824633000.0,1911984000.0,9156,515.0,2732457.0,5303,1302
13,03,3048,273,8,27.0,84475.0,641318.0,2142,185620.0,64440.0,5.0,125301.0,96,79,22,5528,2214,3624,13.0,641318000.0,222641000.0,432915000.0,5838,153.0,527775.0,3455,1303
13,04,83,24,21,21.0,1317.0,2255.0,65,19958.0,11576.0,,38409.0,95,83,33,182,85,111,58.0,2255000.0,1308000.0,4340000.0,196,105.0,11815.0,113,1304
13,05,19,17,71,12.0,558.0,710.0,18,29597.0,7288.0,,42144.0,100,92,67,29,12,27,79.0,710000.0,175000.0,1011000.0,39,131.0,3145.0,24,1305
13,06,651,120,17,26.0,11852.0,177365.0,328,248411.0,97507.0,1.0,161471.0,95,81,26,1252,517,768,7.0,177365000.0,69620000.0,115290000.0,1285,68.0,48264.0,714,1306
13,07,122,24,25,29.0,6080.0,6363.0,67,66281.0,7661.0,,72638.0,97,79,27,187,95,116,96.0,6363000.0,735000.0,6973000.0,211,38.0,3682.0,96,1307
13,08,5712,524,8,55.0,1338280.0,2291391.0,3643,344104.0,102622.0,17.0,263848.0,94,79,30,10284,3615,7422,58.0,2291391000.0,683362000.0,1756963000.0,11037,343.0,2285919.0,6659,1308
13,09,4264,442,10,32.0,80443.0,2097670.0,2586,486247.0,184124.0,16.0,306477.0,95,82,24,7357,2825,4779,4.0,2097670000.0,794310000.0,1322144000.0,7604,96.0,413052.0,4314,1309
13,10,4581,440,8,25.0,104068.0,2027070.0,2878,385741.0,143927.0,15.0,247177.0,96,81,22,8266,3252,5557,5.0,2027070000.0,756334000.0,1298915000.0,8809,157.0,826983.0,5255,1310
13,11,818,149,17,33.0,33620.0,210678.0,634,238055.0,61876.0,2.0,180610.0,94,77,18,1445,573,933,16.0,210678000.0,54760000.0,159840000.0,1506,109.0,96836.0,885,1311
13,12,5537,347,5,46.0,830370.0,1477840.0,3764,232401.0,74773.0,11.0,172312.0,95,75,23,10025,3754,7051,56.0,1477840000.0,475480000.0,1095735000.0,10805,306.0,1944842.0,6359,1312
13,13,163,60,35,21.0,1406.0,2314.0,141,13378.0,7130.0,,33849.0,95,93,26,243,130,160,61.0,2314000.0,1233000.0,5856000.0,290,69.0,11944.0,173,1313
13,14,3310,303,9,34.0,75054.0,1221115.0,2153,359574.0,139942.0,9.0,225535.0,95,83,20,5771,2123,3784,6.0,1221115000.0,475244000.0,765916000.0,5907,142.0,482496.0,3396,1314
15,01,272,199,72,46.0,56243.0,65608.0,214,236000.0,51707.0,10.0,194224.0,83,78,36,131,200,319,86.0,65608000.0,14375000.0,53994000.0,519,62.0,17097.0,278,1501
15,02,5150,4032,64,14.0,458252.0,608168.0,3948,96673.0,20396.0,90.0,90013.0,94,80,24,6160,4894,6420,75.0,608168000.0,128312000.0,566269000.0,11314,165.0,1036205.0,6291,1502
16,01,11262,2961,27,39.0,1153958.0,2398365.0,7334,217007.0,39569.0,22.0,192976.0,96,85,19,19967,8584,11892,48.0,2398365000.0,437318000.0,2132767000.0,20476,369.0,4081126.0,11052,1601
16,02,13092,2824,24,54.0,3610836.0,8493836.0,7464,718295.0,135034.0,78.0,607623.0,93,85,30,22542,8365,14492,43.0,8493836000.0,1596773000.0,7185137000.0,22857,631.0,7466837.0,11825,1602
17,01,512,93,16,95.0,162305.0,165191.0,310,284812.0,104695.0,1.0,191726.0,93,84,25,971,301,709,98.0,165191000.0,60723000.0,111201000.0,1010,296.0,171620.0,580,1701
17,02,3618,386,8,95.0,2001677.0,2311225.0,2014,504965.0,204798.0,9.0,325180.0,93,83,30,7689,2111,5637,87.0,2311225000.0,937359000.0,1488349000.0,7748,447.0,2047235.0,4577,1702
17,03,22,20,80,17.0,5742.0,5795.0,18,231804.0,129177.0,,206377.0,80,100,40,38,14,28,99.0,5795000.0,3229000.0,5159000.0,42,22.0,556.0,25,1703
17,05,56,24,49,55.0,1236.0,2143.0,53,43727.0,,,66256.0,94,86,22,97,39,60,58.0,2143000.0,,3247000.0,99,25.0,1241.0,49,1705
17,06,30,17,52,44.0,4571.0,4641.0,26,140625.0,92025.0,,221437.0,67,85,39,73,26,47,98.0,4641000.0,3037000.0,7307000.0,73,,,33,1706
